record_id,avg_weekly_demand_units,demand_std_units,lead_time_weeks,lead_time_std_weeks,service_level
0338-0017-03,1844.25,1924.27,2.0,0.5,0.95
0264-7510-10,1458.5,953.85,2.0,0.5,0.95
0338-0017-02,1124.77,959.25,2.0,0.5,0.95
63323-089-50,718.75,0.0,2.0,0.5,0.95
0338-0017-38,313.89,282.35,2.0,0.5,0.95
0338-0017-31,166.08,141.85,2.0,0.5,0.95
0338-0017-11,130.21,33.88,2.0,0.5,0.95
0703-4248-01,72.5,0.0,2.0,0.5,0.95
0641-6030-01,60.42,0.0,2.0,0.5,0.95
0338-0017-10,60.0,48.73,2.0,0.5,0.95
0409-6102-10,42.92,40.15,2.0,0.5,0.95
0409-2634-05,39.58,0.0,2.0,0.5,0.95
0143-9595-25,20.46,0.0,2.0,0.5,0.95
0781-3289-09,17.75,0.0,2.0,0.5,0.95
63323-165-01,12.54,12.17,2.0,0.5,0.95
0338-1055-48,11.36,9.53,2.0,0.5,0.95
43547-406-10,8.58,0.0,2.0,0.5,0.95
36000-283-25,8.28,10.59,2.0,0.5,0.95
0641-0367-25,7.65,4.58,2.0,0.5,0.95
0009-0011-03,7.07,3.31,2.0,0.5,0.95
0409-1985-30,6.88,16.34,2.0,0.5,0.95
64764-805-10,6.2,6.68,2.0,0.5,0.95
0641-6007-10,5.6,0.0,2.0,0.5,0.95
63323-161-01,4.78,4.01,2.0,0.5,0.95
0409-4713-32,4.77,6.34,2.0,0.5,0.95
0409-1178-30,4.25,9.31,2.0,0.5,0.95
0409-6102-04,4.17,3.87,2.0,0.5,0.95
0409-4902-34,3.86,3.18,2.0,0.5,0.95
0409-6102-02,3.63,2.75,2.0,0.5,0.95
0338-1073-02,3.44,2.05,2.0,0.5,0.95
0264-7510-20,3.42,0.0,2.0,0.5,0.95
0409-7517-16,3.32,2.43,2.0,0.5,0.95
0409-3793-01,3.3,1.07,2.0,0.5,0.95
36000-282-25,3.14,2.53,2.0,0.5,0.95
0338-0431-03,3.08,0.0,2.0,0.5,0.95
58468-0126-1,3.0,1.3,2.0,0.5,0.95
0409-1312-30,2.54,3.59,2.0,0.5,0.95
0409-3795-01,2.47,3.21,2.0,0.5,0.95
0409-1890-01,2.41,2.0,2.0,0.5,0.95
63323-492-57,2.25,0.0,2.0,0.5,0.95
0409-4713-02,2.1,1.56,2.0,0.5,0.95
0409-1283-31,2.02,1.64,2.0,0.5,0.95
67457-423-12,2.0,0.0,2.0,0.5,0.95
0338-1007-02,1.8,1.12,2.0,0.5,0.95
64764-805-30,1.74,1.28,2.0,0.5,0.95
0409-4903-34,1.69,0.69,2.0,0.5,0.95
0641-6125-25,1.56,1.24,2.0,0.5,0.95
0574-7034-12,1.5,0.71,2.0,0.5,0.95
67457-228-10,1.3,0.0,2.0,0.5,0.95
63323-516-10,1.2,0.0,2.0,0.5,0.95
0409-4276-01,1.08,1.47,2.0,0.5,0.95
0409-2305-17,1.03,0.63,2.0,0.5,0.95
63323-454-01,1.0,0.0,2.0,0.5,0.95
0574-7045-12,1.0,0.0,2.0,0.5,0.95
0409-4282-01,1.0,0.0,2.0,0.5,0.95
36000-284-25,1.0,0.0,2.0,0.5,0.95
0409-4911-34,1.0,0.61,2.0,0.5,0.95
0409-9094-22,1.0,0.0,2.0,0.5,0.95
0409-4277-01,0.93,0.5,2.0,0.5,0.95
0409-1638-02,0.86,2.27,2.0,0.5,0.95
61703-408-41,0.8,0.57,2.0,0.5,0.95
0641-0928-25,0.74,0.42,2.0,0.5,0.95
0009-0011-04,0.7,0.42,2.0,0.5,0.95
0409-1176-30,0.67,0.29,2.0,0.5,0.95
0409-4928-34,0.62,0.53,2.0,0.5,0.95
63323-201-10,0.14,0.0,2.0,0.5,0.95
63323-485-27,0.06,0.05,2.0,0.5,0.95
0409-4275-01,0.02,0.0,2.0,0.5,0.95
16729-239-93,0.0,0.0,2.0,0.5,0.95
0641-6060-10,0.0,0.0,2.0,0.5,0.95
50242-085-27,0.0,0.0,2.0,0.5,0.95
