record_id,avg_weekly_demand_units,demand_std_units,lead_time_weeks,lead_time_std_weeks,service_level
50000-100-01,850,180,2.0,0.5,0.95
50001-101-01,2200,300,1.5,0.4,0.97
50002-102-01,3100,450,1.0,0.3,0.95
50003-103-01,600,90,1.5,0.4,0.90
50004-104-01,1400,200,1.5,0.3,0.90
50005-105-01,9000,700,1.0,0.3,0.97
50006-106-01,120,25,3.0,1.0,0.99
50007-107-01,90,20,3.0,1.0,0.99
50008-108-01,2600,150,2.0,0.5,0.90
50009-109-01,700,80,1.5,0.4,0.95
50010-110-01,950,140,2.0,0.6,0.95
50011-111-01,600,90,2.0,0.5,0.95
50012-112-01,4200,300,1.0,0.3,0.99
50013-113-01,1100,160,1.5,0.4,0.95
50014-114-01,1800,220,1.5,0.4,0.97
50015-115-01,500,70,2.0,0.6,0.97
50016-116-01,1600,260,1.5,0.4,0.97
50017-117-01,1900,280,1.5,0.4,0.97
50018-118-01,2400,300,1.0,0.3,0.97
50019-119-01,300,45,2.5,0.7,0.95
