record_id,generic_name,therapeutic_category,shortage_status,mapped_surveillance_network,seasonal_amplification_factor,supply_risk_multiplier,avg_weekly_demand,demand_std,lead_time_weeks,lead_time_std_weeks,service_level,z_score,base_safety_stock,base_reorder_point,volatility_adjusted_safety_stock,volatility_adjusted_reorder_point,composite_risk_score
0338-1055-48,Metronidazole Injection,Anti-Infective,Current,Combined,1.845,1.8,11.36,9.53,2.0,0.5,0.95,1.6449,24.1,46.8,49.6,79.1,81.8
0781-3289-09,Clindamycin Phosphate Injection,Anti-Infective,Current,Combined,1.845,1.8,17.75,0.0,2.0,0.5,0.95,1.6449,14.6,50.1,26.3,72.4,76.8
0574-7045-12,Belladonna and Opium Suppository,Analgesia/Addiction,To Be Discontinued,,1.0,2.2,1.0,0.0,2.0,0.5,0.95,1.6449,0.8,2.8,1.8,4.8,70.0
0409-4903-34,Lidocaine Hydrochloride Injection,Analgesia/Addiction,To Be Discontinued,,1.0,2.2,1.69,0.69,2.0,0.5,0.95,1.6449,2.1,5.5,3.6,8.7,62.8
58468-0126-1,Doxercalciferol Injection,Endocrinology/Metabolism,To Be Discontinued,,1.0,2.2,3.0,1.3,2.0,0.5,0.95,1.6449,3.9,9.9,6.6,15.6,62.1
0574-7034-12,Aspirin Suppository,Analgesia/Addiction,To Be Discontinued,,1.0,2.2,1.5,0.71,2.0,0.5,0.95,1.6449,2.1,5.1,3.4,7.9,61.0
64764-805-30,Ramelteon Tablet,Psychiatry,To Be Discontinued,,1.0,2.2,1.74,1.28,2.0,0.5,0.95,1.6449,3.3,6.8,4.8,10.0,56.5
0409-4902-34,Dextrose Monohydrate 50% Injection,Endocrinology/Metabolism,To Be Discontinued,,1.0,2.2,3.86,3.18,2.0,0.5,0.95,1.6449,8.0,15.8,11.4,23.0,55.5
0409-4928-34,Calcium Chloride Injection,Cardiovascular,To Be Discontinued,,1.0,2.2,0.62,0.53,2.0,0.5,0.95,1.6449,1.3,2.6,1.9,3.7,55.2
64764-805-10,Ramelteon Tablet,Psychiatry,To Be Discontinued,,1.0,2.2,6.2,6.68,2.0,0.5,0.95,1.6449,16.4,28.8,22.1,40.7,53.8
0264-7510-20,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,3.42,0.0,2.0,0.5,0.95,1.6449,2.8,9.7,5.1,14.0,51.5
